"Country or Area","Year","Item","Value"
"Bahamas","1989","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1964318186.96501"
"Bahamas","1989","Transport, storage and communication (ISIC I)","609287708.422593"
"Bahamas","1989","Other Activities (ISIC J-P)","3888026514.685"
"Bahamas","1989","Total Value Added","7160772310.85242"
"Bahamas","1988","Agriculture, hunting, forestry, fishing (ISIC A-B)","124302119.877131"
"Bahamas","1988","Mining, Manufacturing, Utilities (ISIC C-E)","253744918.7287"
"Bahamas","1988","Manufacturing (ISIC D)","187883652.701998"
"Bahamas","1988","Construction (ISIC F)","341114335.572242"
"Bahamas","1988","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1669824079.00541"
"Bahamas","1988","Transport, storage and communication (ISIC I)","544608025.144555"
"Bahamas","1988","Other Activities (ISIC J-P)","3962785741.28361"
"Bahamas","1988","Total Value Added","6843212068.99817"
"Bahamas","1987","Agriculture, hunting, forestry, fishing (ISIC A-B)","118693024.29691"
"Bahamas","1987","Mining, Manufacturing, Utilities (ISIC C-E)","247706837.941274"
"Bahamas","1987","Manufacturing (ISIC D)","186260876.858151"
"Bahamas","1987","Construction (ISIC F)","342091714.086646"
"Bahamas","1987","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1647698642.10161"
"Bahamas","1987","Transport, storage and communication (ISIC I)","532500205.503086"
"Bahamas","1987","Other Activities (ISIC J-P)","3786786543.31315"
"Bahamas","1987","Total Value Added","6622365773.44174"
"Bahamas","1986","Agriculture, hunting, forestry, fishing (ISIC A-B)","114386026.631982"
"Bahamas","1986","Mining, Manufacturing, Utilities (ISIC C-E)","238542994.789647"
"Bahamas","1986","Manufacturing (ISIC D)","182679198.576716"
"Bahamas","1986","Construction (ISIC F)","328436064.924416"
"Bahamas","1986","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1651933178.28726"
"Bahamas","1986","Transport, storage and communication (ISIC I)","519935799.756393"
"Bahamas","1986","Other Activities (ISIC J-P)","3624076848.96066"
"Bahamas","1986","Total Value Added","6423731070.27011"
"Bahamas","1985","Agriculture, hunting, forestry, fishing (ISIC A-B)","108685452.824146"
"Bahamas","1985","Mining, Manufacturing, Utilities (ISIC C-E)","233403586.018733"
"Bahamas","1985","Manufacturing (ISIC D)","179793868.25525"
"Bahamas","1985","Construction (ISIC F)","324445614.738884"
"Bahamas","1985","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1639806960.25573"
"Bahamas","1985","Transport, storage and communication (ISIC I)","516789937.890375"
"Bahamas","1985","Other Activities (ISIC J-P)","3537100573.59398"
"Bahamas","1985","Total Value Added","6306658121.55731"
"Bahamas","1984","Agriculture, hunting, forestry, fishing (ISIC A-B)","105169419.267498"
"Bahamas","1984","Mining, Manufacturing, Utilities (ISIC C-E)","223284820.740539"
"Bahamas","1984","Manufacturing (ISIC D)","171772915.817231"
"Bahamas","1984","Construction (ISIC F)","310978996.510357"
"Bahamas","1984","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1546728631.07545"
"Bahamas","1984","Transport, storage and communication (ISIC I)","491372536.28518"
"Bahamas","1984","Other Activities (ISIC J-P)","3396096865.04951"
"Bahamas","1984","Total Value Added","6023061645.09546"
"Bahamas","1983","Agriculture, hunting, forestry, fishing (ISIC A-B)","93648003.7202617"
"Bahamas","1983","Mining, Manufacturing, Utilities (ISIC C-E)","196292976.385957"
"Bahamas","1983","Manufacturing (ISIC D)","149084892.768939"
"Bahamas","1983","Construction (ISIC F)","270281960.437107"
"Bahamas","1983","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1338944453.81956"
"Bahamas","1983","Transport, storage and communication (ISIC I)","427515341.761453"
"Bahamas","1983","Other Activities (ISIC J-P)","3001907568.50464"
"Bahamas","1983","Total Value Added","5285234472.33185"
"Bahamas","1982","Agriculture, hunting, forestry, fishing (ISIC A-B)","89781825.7927566"
"Bahamas","1982","Mining, Manufacturing, Utilities (ISIC C-E)","189212038.763114"
"Bahamas","1982","Manufacturing (ISIC D)","144434210.157204"
"Bahamas","1982","Construction (ISIC F)","261776476.551348"
"Bahamas","1982","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1299819446.55592"
"Bahamas","1982","Transport, storage and communication (ISIC I)","413301759.094366"
"Bahamas","1982","Other Activities (ISIC J-P)","2881246818.61674"
"Bahamas","1982","Total Value Added","5092913658.64703"
"Bahamas","1981","Agriculture, hunting, forestry, fishing (ISIC A-B)","83858039.1834007"
"Bahamas","1981","Mining, Manufacturing, Utilities (ISIC C-E)","177078936.321117"
"Bahamas","1981","Manufacturing (ISIC D)","135579846.967737"
"Bahamas","1981","Construction (ISIC F)","245078597.257793"
"Bahamas","1981","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1224250488.56434"
"Bahamas","1981","Transport, storage and communication (ISIC I)","388035387.324732"
"Bahamas","1981","Other Activities (ISIC J-P)","2694353916.86718"
"Bahamas","1981","Total Value Added","4772825763.91765"
"Bahamas","1980","Agriculture, hunting, forestry, fishing (ISIC A-B)","92144016.2085766"
"Bahamas","1980","Mining, Manufacturing, Utilities (ISIC C-E)","195066902.518609"
"Bahamas","1980","Manufacturing (ISIC D)","149345786.918576"
"Bahamas","1980","Construction (ISIC F)","270253717.211804"
"Bahamas","1980","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1348162649.16362"
"Bahamas","1980","Transport, storage and communication (ISIC I)","427908543.155811"
"Bahamas","1980","Other Activities (ISIC J-P)","2968948397.85519"
"Bahamas","1980","Total Value Added","5258596462.34631"
"Bahamas","1979","Agriculture, hunting, forestry, fishing (ISIC A-B)","86832103.404053"
"Bahamas","1979","Mining, Manufacturing, Utilities (ISIC C-E)","183302685.810447"
"Bahamas","1979","Manufacturing (ISIC D)","140167391.928112"
"Bahamas","1979","Construction (ISIC F)","253786397.783264"
"Bahamas","1979","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1262683119.21049"
"Bahamas","1979","Transport, storage and communication (ISIC I)","401353803.773998"
"Bahamas","1979","Other Activities (ISIC J-P)","2792293837.10312"
"Bahamas","1979","Total Value Added","4939176908.37408"
"Bahamas","1978","Agriculture, hunting, forestry, fishing (ISIC A-B)","68937587.7412438"
"Bahamas","1978","Mining, Manufacturing, Utilities (ISIC C-E)","145362019.858531"
"Bahamas","1978","Manufacturing (ISIC D)","111020892.331673"
"Bahamas","1978","Construction (ISIC F)","201018074.133427"
"Bahamas","1978","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1000206976.42814"
"Bahamas","1978","Transport, storage and communication (ISIC I)","317958437.554223"
"Bahamas","1978","Other Activities (ISIC J-P)","2215017464.16967"
"Bahamas","1978","Total Value Added","3915996950.20316"
"Bahamas","1977","Agriculture, hunting, forestry, fishing (ISIC A-B)","60281731.432363"
"Bahamas","1977","Mining, Manufacturing, Utilities (ISIC C-E)","127262754.500365"
"Bahamas","1977","Manufacturing (ISIC D)","97305977.392296"
"Bahamas","1977","Construction (ISIC F)","176140700.33687"
"Bahamas","1977","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","877191104.855997"
"Bahamas","1977","Transport, storage and communication (ISIC I)","278608963.886264"
"Bahamas","1977","Other Activities (ISIC J-P)","1937817513.00997"
"Bahamas","1977","Total Value Added","3428776556.70924"
"Bahamas","1976","Agriculture, hunting, forestry, fishing (ISIC A-B)","55197469.4970864"
"Bahamas","1976","Mining, Manufacturing, Utilities (ISIC C-E)","116569822.166212"
"Bahamas","1976","Manufacturing (ISIC D)","89159518.1945994"
"Bahamas","1976","Construction (ISIC F)","161354048.174485"
"Bahamas","1976","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","804026680.534653"
"Bahamas","1976","Transport, storage and communication (ISIC I)","255314149.668892"
"Bahamas","1976","Other Activities (ISIC J-P)","1774980791.5096"
"Bahamas","1976","Total Value Added","3141290459.82874"
"Bahamas","1975","Agriculture, hunting, forestry, fishing (ISIC A-B)","52480002.7180034"
"Bahamas","1975","Mining, Manufacturing, Utilities (ISIC C-E)","110833174.017119"
"Bahamas","1975","Manufacturing (ISIC D)","84754352.1789852"
"Bahamas","1975","Construction (ISIC F)","153417373.895263"
"Bahamas","1975","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","764099833.396624"
"Bahamas","1975","Transport, storage and communication (ISIC I)","242725493.783418"
"Bahamas","1975","Other Activities (ISIC J-P)","1687878524.42451"
"Bahamas","1975","Total Value Added","2986581664.56622"
"Bahamas","1974","Agriculture, hunting, forestry, fishing (ISIC A-B)","61635149.2717146"
"Bahamas","1974","Mining, Manufacturing, Utilities (ISIC C-E)","130105816.759793"
"Bahamas","1974","Manufacturing (ISIC D)","99468489.0790166"
"Bahamas","1974","Construction (ISIC F)","180063147.267379"
"Bahamas","1974","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","896522520.282002"
